State,Count
ALABAMA,1332
ALASKA,438
AMERICAN SAMOA,31
ARIZONA,1491
ARKANSAS,2772
CALIFORNIA,2939
COLORADO,1601
CONNECTICUT,1646
DELAWARE,718
DISTRICT OF COLUMBIA,657
FED. STATES,26
FLORIDA,1857
GEORGIA,2185
GUAM,129
HAWAII,371
IDAHO,1063
ILLINOIS,1919
INDIANA,2033
IOWA,2438
KANSAS,1552
KENTUCKY,3482
LOUISIANA,1489
MAINE,1658
MARSHALL ISLANDS,4
MARYLAND,1584
MASSACHUSETTS,4419
MICHIGAN,1969
MINNESOTA,1754
MISSISSIPPI,1489
MISSOURI,2411
MONTANA,1228
MOROCCO,1
N. MARIANA ISLANDS,38
NEBRASKA,1141
NEVADA,386
NEW HAMPSHIRE,806
NEW JERSEY,1767
NEW MEXICO,1187
NEW YORK,6276
NORTH CAROLINA,3067
NORTH DAKOTA,462
OHIO,4122
OKLAHOMA,1374
OREGON,2082
PALAU,6
PENNSYLVANIA,3512
PUERTO RICO,361
RHODE ISLAND,810
SOUTH CAROLINA,1616
SOUTH DAKOTA,1377
TENNESSEE,2189
TEXAS,3428
U.S. MINOR ISLANDS,2
UTAH,1882
VERMONT,876
VIRGIN ISLANDS,91
VIRGINIA,3288
WASHINGTON,1621
WEST VIRGINIA,1081
WISCONSIN,2535
WYOMING,573
