Year Listed,Count
1999,1518
1984,3760
1997,1574
1974,2181
2001,1412
1988,2983
2018,962
1995,1517
1990,2213
2006,1268
2005,1603
2012,1180
2019,936
1972,1512
1966,864
2000,1540
2016,902
2011,1070
1980,4333
1976,2086
1975,1956
1998,1550
1985,3392
1971,1040
1970,883
1982,4740
1973,2171
1986,3172
1996,1536
1978,3172
1992,1851
1981,619
1991,1997
2010,1097
1993,1559
1989,2558
2017,1021
2008,1315
2004,1541
1987,2280
1979,3598
2002,1680
1994,1606
2009,1234
1983,4385
2013,1078
2014,1112
2003,1375
1977,1466
2015,994
2007,1419
2020,808
1969,360
2021,486
1967,29
1968,56
